X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.1721573065091,40.0440378747937,1370,400 Block of MECHANIC ST,19144,2018,,2018 Playstreets Program
-75.1708888172165,40.0425625543874,1371,400 Block of E RITTENHOUSE ST,19144,2018,,2018 Playstreets Program
-75.1548661987104,40.0603211816042,1372,7000 Block of LOUISE ST,19138,2018,,2018 Playstreets Program
-75.1591030246696,40.0477287441488,1373,5500 Block of BLAKEMORE ST,19138,2018,,2018 Playstreets Program
-75.1694855961643,40.0377552003765,1374,5500 Block of HEISKELL ST,19144,2018,,2018 Playstreets Program
-75.1623742518452,40.043385627054,1375,5500 Block of CROWSON ST,19144,2018,,2018 Playstreets Program
-75.1645390708827,40.0346387722353,1376,200 Block of E BRINGHURST ST,19144,2018,,2018 Playstreets Program
-75.1613782163163,40.0342092867879,1377,5100 Block of SHELDON ST,19144,2018,,2018 Playstreets Program
-75.1611571688352,39.9213751132262,1378,2200 Block of S DARIEN ST,19148,2018,,2018 Playstreets Program
-75.1482334020678,39.9738266966851,1379,1400 Block of N FRANKLIN ST,19122,2018,,2018 Playstreets Program
-75.1332463396099,39.9825063761756,1380,2100 Block of HOPE ST,19122,2018,,2018 Playstreets Program
-75.1361429055164,39.9828806721838,1381,2100 Block of PALETHORP ST,19122,2018,,2018 Playstreets Program
-75.1464776005275,39.9750359591924,1382,1500 Block of N MARSHALL ST,19122,2018,,2018 Playstreets Program
-75.1566599801968,40.044578875839,1383,5900 Block of N NORWOOD ST,19138,2018,,2018 Playstreets Program
-75.1517030804216,40.0580558283246,1384,2000 Block of E RITTENHOUSE ST,19138,2018,,2018 Playstreets Program
-75.1450946675559,39.9824515260271,1385,2000 Block of N MARSHALL ST,19122,2018,,2018 Playstreets Program
-75.1414497041691,39.9819828152554,1386,2000 Block of N LAWRENCE ST,19122,2018,,2018 Playstreets Program
-75.1395302699396,39.9817352786417,1387,2000 Block of N 3RD ST,19122,2018,,2018 Playstreets Program
-75.1442574767333,40.0466104940138,1388,1400 Block of SPARKS ST,19141,2018,,2018 Playstreets Program
-75.1352943068885,39.9776380700979,1389,1800 Block of WATERLOO ST,19122,2018,,2018 Playstreets Program
-75.1187207230952,39.9761157625055,1390,2500 Block of WEBB ST,19125,2018,,2018 Playstreets Program
-75.1525085199794,39.9882123788607,1391,2300 Block of N FAWN ST,19133,2018,,2018 Playstreets Program
-75.1364634089622,39.9766521147406,1392,100 Block of W PALMER ST,19122,2018,,2018 Playstreets Program
-75.1459563156453,39.9857825839355,1393,2200 Block of N FRANKLIN ST,19133,2018,,2018 Playstreets Program
-75.1430176344548,39.9854041347654,1394,2200 Block of N FAIRHILL ST,19133,2018,,2018 Playstreets Program
-75.1352247371463,39.9846299720655,1395,2200 Block of N HANCOCK ST,19133,2018,,2018 Playstreets Program
-75.1519263001194,40.0509815549487,1396,6300 Block of N OPAL ST,19141,2018,,2018 Playstreets Program
-75.0816466507792,40.0274459966072,1397,5300 Block of SYLVESTER ST,19124,2018,,2018 Playstreets Program
-75.0367684582846,40.0285546692665,1398,7100 Block of VANDIKE ST,19135,2018,,2018 Playstreets Program
-75.047012502221,40.0232563102867,1399,6600 Block of VANDIKE ST,19135,2018,,2018 Playstreets Program
-75.0806992062222,40.0343430239122,1400,1400 Block of CRESTON ST,19149,2018,,2018 Playstreets Program
-75.0822419821808,40.0295435280735,1401,1100 Block of ANCHOR ST,19124,2018,,2018 Playstreets Program
-75.0656474201741,40.0259314686874,1402,4000 Block of CRESTON ST,19135,2018,,2018 Playstreets Program
-75.0355037673218,40.0319863367964,1403,4500 Block of TEESDALE ST,19136,2018,,2018 Playstreets Program
-75.1700927979521,40.0293112152075,1404,5200 Block of MARION ST,19144,2018,,2018 Playstreets Program
-75.1485235258775,40.0155043812572,1405,1300 Block of COLWYN ST,19140,2018,,2018 Playstreets Program
-75.1541696101786,40.0295685801818,1406,1800 Block of W ALBANUS ST,19141,2018,,2018 Playstreets Program
-75.1677402318436,40.0242717714813,1407,200 Block of W CLAPIER ST,19144,2018,,2018 Playstreets Program
-75.0795405909617,40.0355629712473,1408,1400 Block of LARDNER ST,19149,2018,,2018 Playstreets Program
-75.1656095288308,40.0319066433935,1409,0 Block of E ASHMEAD ST,19144,2018,0-99 Street Range,2018 Playstreets Program
-75.1642594790354,40.0070046682904,1410,2100 Block of W ESTAUGH ST,19140,2018,,2018 Playstreets Program
-75.1658652636027,40.0072075892827,1411,2200 Block of W ESTAUGH ST,19140,2018,,2018 Playstreets Program
-75.166742359166,40.0088573019861,1412,2300 Block of W ATLANTIC ST,19140,2018,,2018 Playstreets Program
-75.162867340041,40.0240937856501,1413,100 Block of W SYLVANIA ST,19144,2018,,2018 Playstreets Program
-75.1696145231485,40.0272503227075,1414,5100 Block of HENLEY ST,19144,2018,,2018 Playstreets Program
-75.1519756929642,40.0101664276911,1415,3700 Block of N CARLISLE ST,19140,2018,,2018 Playstreets Program
-75.1504932556165,40.016281721975,1416,1400 Block of W JEROME ST,19140,2018,,2018 Playstreets Program
-75.1536548265615,40.0181131029146,1417,1600 Block of DOUNTON ST,19140,2018,,2018 Playstreets Program
-75.1578702017645,40.0125204980156,1418,3800 Block of N GRATZ ST,19140,2018,,2018 Playstreets Program
-75.1593463484726,40.0193399261278,1419,2000 Block of DENNIE ST,19140,2018,,2018 Playstreets Program
-75.1572658625797,40.0195129288301,1420,1900 Block of ROWAN ST,19140,2018,,2018 Playstreets Program
-75.1547799271444,40.0194561532849,1421,1700 Block of SAINT PAUL ST,19140,2018,,2018 Playstreets Program
-75.1561206242164,40.0216949349019,1422,4400 Block of N GRATZ ST,19140,2018,,2018 Playstreets Program
-75.1727557390683,40.0048691556446,1423,3200 Block of N BAILEY ST,19129,2018,,2018 Playstreets Program
-75.1506087272137,40.0225176547939,1424,4500 Block of N HICKS ST,19140,2018,,2018 Playstreets Program
-75.1592182434946,40.0140166797577,1425,3900 Block of PRISCILLA ST,19140,2018,,2018 Playstreets Program
-75.1482437402817,40.0270106169682,1426,4800 Block of N CARLISLE ST,19141,2018,,2018 Playstreets Program
-75.1519105650895,40.0261837170485,1427,1600 Block of W MENTOR ST,19141,2018,,2018 Playstreets Program
-75.1545939727309,40.0275930012131,1428,1800 Block of W ELEANOR ST,19141,2018,,2018 Playstreets Program
-75.1668990995345,40.0214518090055,1429,4600 Block of FERNHILL RD,19144,2018,,2018 Playstreets Program
