X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.0421092216299,40.0321500845671,197,Senator William Vincent Mullin Playground,2_5_YEARS,, ,Nearmap 2023
-75.0496204082297,40.0281052017422,198,Joseph F Vogt Playground,2_5_YEARS,2008/01/01 00:00:00+00, ,Nearmap 2023
-75.0612334037611,40.0290633063445,199,Lower Mayfair Playground,2_5_YEARS,, ,Nearmap 2023
-75.0539656112069,40.026042171478,200,Franklin Delano Roosevelt Playground,2_5_YEARS,2020/10/01 00:00:00+00,Installed during Renovations in 10/2020,Nearmap 2023
-75.0543139177021,40.0186501903121,201,American Legion Playground,2_5_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
-75.0627765690273,40.016110428061,202,Victor J Moss Memorial Field,2_5_YEARS,2019/10/01 00:00:00+00,Installed during renovations 10/2019,Nearmap 2023
-75.0528712401807,40.0393370493819,203,Mayfair Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.080061085234,40.0241398245381,204,Joseph C McIlvain Playground,2_5_YEARS,2023/01/01 00:00:00+00,Renovated Winter 2023,Capital 2023
-75.0766587216297,40.0564055382632,205,Thomas E Jardel Memorial Field,5_12_YEARS,, ,Nearmap 2023
-75.0819272493929,40.0406861238511,206,Seymour Tarken Recreation Center,5_12_YEARS,, ,Nearmap 2023
-75.093723823846,40.029897120144,207,Edward Houseman Playground,2_5_YEARS,, ,Nearmap 2023
-75.10082297081,40.0458529901326,208,Lawncrest Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.0766404072726,40.0143963396992,209,William (Billy) Gambrel Playground,2_5_YEARS,2009/01/01 00:00:00+00, ,Nearmap 2023
-75.0830320926828,40.0140315164298,210,Hedge Street Park,2_5_YEARS,, ,Nearmap 2023
-75.0734232537583,40.0111284707435,211,Carmella A DiTizio Playground,2_5_YEARS,2020/08/01 00:00:00+00,Installed during renoations 8/2021,Nearmap 2023
-75.0671295483816,39.9996794082638,212,Bridesburg Recreation Center,2_5_YEARS,2015/01/01 00:00:00+00, ,Nearmap 2023
-75.0987469897268,39.9977958450309,213,Robert T Heitzman Recreation Center,UNKNOWN,2022/09/23 00:00:00+00, ,Nearmap 2023
-75.1235034718775,39.9944390401347,214,Marian Winfield Hissey Recreation Center,2_5_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
-75.0968527525093,39.990735170156,215,Bernard Samuel Playground,2_5_YEARS,2022/06/02 00:00:00+00,Renovated in 2022,Nearmap 2023
-75.1007415581084,39.9831713485612,216,Reverend M Monkiewicz Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.1072015621306,39.9821909698634,217,Thomas P Stokley Recreation Center,2_5_YEARS,2014/01/01 00:00:00+00, ,Nearmap 2023
-75.1125840323082,39.984041811817,218,Cohocksink Recreation Center,2_5_YEARS,, ,Nearmap 2023
-75.1179941182692,39.9815173528297,219,Frederick Cione Playground,2_5_YEARS,2016/01/01 00:00:00+00, ,Nearmap 2023
