objectid,park_name,site_number,table_count,permittable,comments,data_source,lat,lng
218,West Mill Creek Playground,0,2,N, ,Nearmap 2023,39.967006158924455,-75.2224279998287
219,Wissahickon Environmental Center,0,3,N,Non-fixed picnic tables sw of the house.,Nearmap 2023,40.08091019407432,-75.23425628847214
220,Wissahickon Environmental Center,0,2,N,Non-fixed picnic tables near fire pit,Nearmap 2023,40.08132091895188,-75.23439057355522
221,Wissahickon Environmental Center,0,1,N,Non-fixed table,Nearmap 2023,40.08127594719813,-75.23375042699968
222,Wissinoming Park,0,12,N, ,Nearmap 2023,40.02449687991979,-75.0693678706666
223,Woodside Park,0,1,N, ,Nearmap 2023,40.002323097090766,-75.20896807053177
224,William Lanier Park,0,5,N, ,Nearmap 2023,39.93342868262924,-75.19402665913351
225,Stenton Park,0,2,N, ,Nearmap 2023,40.024335995865435,-75.15266997330366
226,Stenton Park,0,2,N, ,Nearmap 2023,40.02401297719081,-75.15251997905293
227,Fernhill Park,0,1,Y, ,Nearmap 2023,40.016071150032985,-75.17012598866415
228,Disston Recreation Center,0,3,N,Installed during renovations 11/2019.,Nearmap 2023,40.027983597453726,-75.04405775736731
229,Garland and Bingham Fields,0,2,N, ,Nearmap 2023,40.034244630855554,-75.11046891695824
230,Mount Airy Playground,0,2,N, ,Nearmap 2023,40.05766330373475,-75.18770702384722
231,Mount Airy Playground,0,2,N, ,Nearmap 2023,40.05775802443692,-75.18848077627622
232,Water Tower Recreation Center,0,2,N, ,Nearmap 2023,40.075869632944034,-75.20045815617426
233,Water Tower Recreation Center,0,2,N, ,Nearmap 2023,40.075358729771956,-75.20046743214354
234,Corporal George J Reed Jr Memorial Playground,0,2,N, ,Nearmap 2023,40.00275426272734,-75.13321415989391
235,Stephen E Fotterall Square,0,4,N, ,"Nearmap 2023; visted site 8/23/23",39.99020258369481,-75.15100574529633
236,37th and Mount Vernon Playground,0,2,N, ,Nearmap 2023,39.96402650001221,-75.19644756231733
237,East Fairmount Park,0,2,N,N 33rd St and Cecil B Moore Ave,Nearmap 2023,39.982367744086005,-75.18933384587562
238,Clarence H Clark Park,0,1,Y, ,Nearmap 2023,39.94785265323404,-75.21089366880457
239,Clarence H Clark Park,0,1,Y, ,Nearmap 2023,39.94774823361305,-75.21077714691023
240,Clarence H Clark Park,0,1,N, ,Nearmap 2023,39.94709689579134,-75.20928612486496
241,Cobbs Creek Park,0,1,Y,North to Cobbs Creek Community Environmental Center,Nearmap 2023,39.95341276627037,-75.24935421780927
242,Bartrams Garden,0,9,N,North to Bartram's Garden Greenhouse 3,Nearmap 2023,39.93041827409467,-75.2135982828577
243,Bartrams Garden,0,1,N,East to Bartram's Garden Farm Shed,Nearmap 2023,39.93041599182729,-75.21340886071971
244,Jacob Stinger Park,0,2,N,Fixed tables,Nearmap 2023,39.936423116122334,-75.1973904335459
245,Thomas B Smith Recreation Center,0,2,N, ,Nearmap 2023,39.92586819620428,-75.18679730075573
246,Thomas B Smith Recreation Center,0,1,N, ,Nearmap 2023,39.92626243048451,-75.18720538487183
247,Thomas B Smith Recreation Center,0,1,N, ,Nearmap 2023,39.92620974156562,-75.18730546408783
248,Thomas B Smith Recreation Center,0,1,N, ,Nearmap 2023,39.92623096923018,-75.18753850051515
